item_id,title,price,currency_id,condition,available_quantity,seller_id,seller_reputation,location,url
MLA1440271613,Producto Generico - LG Tone Free T90 - Auriculares Bluetoot. Color Negro,673999,ARS,new,100,1344922108,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1440271613-producto-generico-lg-tone-free-t90-auriculares-bluetoot-color-negro-_JM
MLA1112667209,Auriculares LG Tone  Free Fp9  Inalambricos (color Negro),424809,ARS,new,6,161008662,No Reputation,Buenos Aires,https://articulo.mercadolibre.com.ar/MLA-1112667209-auriculares-lg-tone-free-fp9-inalambricos-color-negro-_JM
MLA1400218739,Adaptador Tipo C A Jack Mini Plug Aux 3.5m Audio Auriculares,5487,ARS,new,20,238562150,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1400218739-adaptador-tipo-c-a-jack-mini-plug-aux-35m-audio-auriculares-_JM
MLA1980807900,Auriculares Estéreo Inalámbricos Bluetooth Con Banda Para El,308245.38,ARS,new,30,2156249700,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1980807900-auriculares-estereo-inalambricos-bluetooth-con-banda-para-el-_JM
MLA1508207398,LG Tone Free True Wireless Bluetooth Earbuds T90 Auriculares Color Negro,453599,ARS,new,100,568588035,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1508207398-lg-tone-free-true-wireless-bluetooth-earbuds-t90-auriculares-color-negro-_JM
MLA1980702880,Auriculares Estéreo Inalámbricos Bluetooth Con Banda Para El,308245.38,ARS,new,30,2148180470,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1980702880-auriculares-estereo-inalambricos-bluetooth-con-banda-para-el-_JM
MLA1465555459,"Audio Bluetooth Heibas G7, Monoaural, Liviano, Color Ne...",97525.12,ARS,new,10,2156221828,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1465555459-audio-bluetooth-heibas-g7-monoaural-liviano-color-ne-_JM
MLA1467615099,Auriculares LG Tone Free True Wireless Bluetooth Fp9 Con Fun,186701.47,ARS,new,20,2148180470,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1467615099-auriculares-lg-tone-free-true-wireless-bluetooth-fp9-con-fun-_JM
MLA1440501645,Auriculares Con Cable Hifi Con Aislamiento Ruido Auriculares,42388,ARS,new,100,1344922108,No Reputation,Capital Federal,https://articulo.mercadolibre.com.ar/MLA-1440501645-auriculares-con-cable-hifi-con-aislamiento-ruido-auriculares-_JM
MLA1978199492,Auriculares Bluetooth LG Tone Free T90 Con Anc Dolby Atmos N,265642.38,ARS,new,30,2148180470,No Reputation,Florida,https://articulo.mercadolibre.com.ar/MLA-1978199492-auriculares-bluetooth-lg-tone-free-t90-con-anc-dolby-atmos-n-_JM
